RUID,UID,Census,Set,SubSet,PlotCode,Plot,Tra,Qua,Crit,Sample,Tag,Species,PosX,PosY,Sup,Rep,FrutPerBranch,NumbBranch,AvrgSeeds,CAR,RecrYr,DeadYr,ExcYr,RincYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales,Historial de objeto,
2008MP02M2226-2,MP02M2226-2,2008,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,5.88,5.6,3.5,1177743825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177743825,1177743825,1089410490792,0.217882098,153938040026,3078760800518,20,0,0,1,,,
2009MP02M2226-2,MP02M2226-2,2009,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,5.88,3.5,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,785398163397,0.157079633,164933614313,3298672286269,20,0,0,1,,,
2010MP02M2226-2,MP02M2226-2,2010,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,5.9,3.5,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,785398163397,0.157079633,164933614313,3298672286269,20,0,0,1,,,
2011MP02M2226-2,MP02M2226-2,2011,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,6,3.5,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,785398163397,0.157079633,164933614313,3298672286269,20,0,0,1,,,
2012MP02X2074-5,MP02X2074-5,2012,MatCan,Fs,,ISA,1,1,C,500,A47,Mimosa acantholoba,4.1,3.05,1,,,,,,2012,2016,2015,,2.72,1.72,0.2,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,10.3,833228911548,0.166645782,0.270176968,54035393642,20,20,0,1,,,
2012MP02M2226-2,MP02M2226-2,2012,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,6.2,42801869118,42801869118,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.5,1038689071093,0.207737814,143884943534,2877698870688,20,0,0,1,,,
2013MP02X2074-5,MP02X2074-5,2013,MatCan,Fs,,ISA,1,1,C,500,A47,Mimosa acantholoba,4.1,3.05,1,,,,,,2012,2016,2015,,4.2,6.1,6.6,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6,1056831768668,0.211366354,316201300584,6324026011676,20,0,0,1,,,
2013MP02M2226-2,MP02M2226-2,2013,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,6.4,3.4,4.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,12.1,114990145103,0.22998029,122836272755,2456725455107,20,0,0,1,,,
2014MP02X2074-5,MP02X2074-5,2014,MatCan,Fs,,ISA,1,1,C,375,A47,Mimosa acantholoba,4.1,3.05,1,,,,,,2012,2016,2015,,3.37,8.29,4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,138544236023,0.03694513,260438030983,6945014159536,266666666667,0,0,1,,,
2014MP02M2226-2,MP02M2226-2,2014,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,5.96,4.56,3.55,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.8,1093588402715,0.218717681,127140254691,2542805093816,20,0,0,1,,,
2015MP02X2074-5,MP02X2074-5,2015,MatCan,Fs,,ISA,1,1,C,500,A47,Mimosa acantholoba,4.1,3.05,,,,,,,2012,2016,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2015: Casi caido ya no entra.,,
2015MP02M2226-2,MP02M2226-2,2015,MatCan,Fs,,ISA,5,2,B,500,1142,Mimosa acantholoba,1.92,6.2,1,,,,,,,2016,,,7.8,4.18,2.1,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.4,1020703453151,0.204140691,68942250783,1378845015661,20,0,0,1,,,
21559603,215596,2003,SecCan,NA,SC04,ABE,1,2,C,100,27,Mimosa acantholoba,3.25,5,1,,,,,,,2008,,,3.25,1.7,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,13273228961,0.013273229,17357299411,1735729941108,100,0,0,1,c/ tocon chico multitallo quemado,,
21560203,215602,2003,SecCan,NA,SC04,ABE,1,2,C,100,28,Mimosa acantholoba,0.2,5.65,1,,,,,,,2008,,,2.8,0.8,1.3,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.15,10386890711,0.010386891,0.81681409,816814089933,100,0,0,1,c/ tocon chico multitallo quemado,,
21562603,215626,2003,SecCan,NA,SC04,ABE,1,2,C,100,30,Mimosa acantholoba,0.7,6,1,,,,,,,2010,,,3.07,1.5,1.25,1.15,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.4,25780694714,0.025780695,14726215564,147262155637,100,0,0,2,,,
21557203,215572,2003,SecCan,NA,SC04,ABE,1,2,C,100,25,Mimosa acantholoba,4.15,7.1,1,,,,,,,2004,,,2.45,0.6,0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,15393804003,0.015393804,0.376991118,376991118431,100,0,0,1,c/ toconcito parece quemado. c/ hongos en base,,
21563303,215633,2003,SecCan,NA,SC04,ABE,1,2,C,200,31,Mimosa acantholoba,4.47,7.25,1,,,,,,,2016,,,4.85,3,3.2,3.75,2.3,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.75,215788145393,0.107894073,75398223686,3769911184308,50,0,0,3,ramif. desde base,,
21556503,215565,2003,SecCan,NA,SC04,ABE,1,2,C,100,24,Mimosa acantholoba,4.6,7.7,1,,,,,,,,,,2.9,1.8,1.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,11309733553,0.011309734,26860617188,2686061718819,100,0,0,1,crec. bien 1 solo tallo,,
21555803,215558,2003,SecCan,NA,SC04,ABE,1,2,C,100,23,Mimosa acantholoba,4.4,8.9,1,,,,,,,,,,3.25,1.8,2.3,1.2,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.8,5686282703,0.056862827,32515483965,3251548396465,100,0,0,3,c/ tocon chico quemado y varios rebrotes mtos.,,
21549703,215497,2003,SecCan,NA,SC04,ABE,1,3,B,200,3,Mimosa acantholoba,4,10.75,1,,,,,,,,,,3.87,3,3.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,66051985542,0.033025993,82466807157,4123340357837,50,0,0,1,crec. der. s/ ramif pero oprimida x ind 02,,
21537403,215374,2003,SecCan,NA,SC04,ABE,1,4,A,400,1,Mimosa acantholoba,3.25,16.1,1,,,,,,,2010,,,5,4,3.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.3,311724531052,0.077931133,119380520836,298451302091,25,0,0,1,ok. remif. desde base. c/ 1 toconcito quemado,,
21586203,215862,2003,SecCan,NA,SC04,ABE,2,1,C,100,56,Mimosa acantholoba,0,1.2,1,,,,,,,2013,,,3.7,1.4,1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.6,20106192983,0.020106193,10995574288,1099557428756,100,0,0,1,c/ toconcito en base. ramif desde base,,
21582403,215824,2003,SecCan,NA,SC04,ABE,2,1,C,400,52,Mimosa acantholoba,3.64,1.5,1,,,,,,,,,,4.8,2.75,5.15,5.3,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,5.3,293680008248,0.073420002,111232014891,2780800372279,25,0,0,2,1 tronco,,
