"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
30,NA,1.79840401194672,NA,6.04,"SC01","1","210010",2003,7.08
31,1.79840401194672,1.99605993274078,6.04,7.36,"SC01","1","210010",2004,7.5
32,1.99605993274078,1.87180217690159,7.36,6.5,"SC01","1","210010",2005,7.7
33,1.87180217690159,1.85159946958407,6.5,6.37,"SC01","1","210010",2006,7.8
34,1.85159946958407,1.84054963339749,6.37,6.3,"SC01","1","210010",2007,8.5
35,1.84054963339749,1.68639895357023,6.3,5.4,"SC01","1","210010",2008,8.1
36,1.68639895357023,1.62531126159039,5.4,5.08,"SC01","1","210010",2009,10.4
37,1.62531126159039,1.63899671467564,5.08,5.15,"SC01","1","210010",2010,9.6
38,1.63899671467564,1.93152141160321,5.15,6.9,"SC01","1","210010",2011,9.5
39,1.93152141160321,1.64865862558738,6.9,5.2,"SC01","1","210010",2012,11.5
40,1.64865862558738,1.70110510095992,5.2,5.48,"SC01","1","210010",2013,8.3
41,1.70110510095992,1.77495235091167,5.48,5.9,"SC01","1","210010",2014,5.1
42,1.77495235091167,1.1999647829284,5.9,3.32,"SC01","1","210010",2015,4.9
43,1.1999647829284,1.18172719537862,3.32,3.26,"SC01","1","210010",2016,5
30,NA,1.56234630490025,NA,4.77,"SC01","1","210027",2003,5.59
31,1.56234630490025,1.67709656090792,4.77,5.35,"SC01","1","210027",2004,5.8
32,1.67709656090792,1.64865862558738,5.35,5.2,"SC01","1","210027",2005,6
33,1.64865862558738,1.68639895357023,5.2,5.4,"SC01","1","210027",2006,5.8
34,1.68639895357023,1.53686721959926,5.4,4.65,"SC01","1","210027",2007,6.1
35,1.53686721959926,1.66770682055808,4.65,5.3,"SC01","1","210027",2008,6.5
36,1.66770682055808,1.60542989103656,5.3,4.98,"SC01","1","210027",2009,7.4
37,1.60542989103656,1.65822807660353,4.98,5.25,"SC01","1","210027",2010,8.3
38,1.65822807660353,1.75785791755237,5.25,5.8,"SC01","1","210027",2011,5.7
39,1.75785791755237,1.87180217690159,5.8,6.5,"SC01","1","210027",2012,5.5
40,1.87180217690159,1.81807677754543,6.5,6.16,"SC01","1","210027",2013,5.5
41,1.81807677754543,1.58923520511658,6.16,4.9,"SC01","1","210027",2014,5.1
42,1.58923520511658,1.05082162483176,4.9,2.86,"SC01","1","210027",2015,5
43,1.05082162483176,NA,2.86,NA,"SC01","0","210027",2016,NA
