"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
100,NA,1.00063188030791,NA,2.72,"ISA",1,"120745",2012,10.3
100,1.00063188030791,1.43508452528932,2.72,4.2,"ISA",1,"120745",2013,11.6
100,1.43508452528932,1.21491274436427,4.2,3.37,"ISA",1,"120745",2014,4.2
100,1.21491274436427,NA,3.37,NA,"ISA",0,"120745",2015,NA
100,NA,1.77155676191054,NA,5.88,"ISA",1,"122262",2008,11.77743825
100,1.77155676191054,1.77155676191054,5.88,5.88,"ISA",1,"122262",2009,10
100,1.77155676191054,1.77495235091167,5.88,5.9,"ISA",1,"122262",2010,10
100,1.77495235091167,1.79175946922805,5.9,6,"ISA",1,"122262",2011,10
100,1.79175946922805,1.82454929205105,6,6.2,"ISA",1,"122262",2012,11.5
100,1.82454929205105,1.85629799036563,6.2,6.4,"ISA",1,"122262",2013,12.1
100,1.85629799036563,1.78507048107726,6.4,5.96,"ISA",1,"122262",2014,11.8
100,1.78507048107726,2.05412373369555,5.96,7.8,"ISA",1,"122262",2015,11.4
100,2.05412373369555,NA,7.8,NA,"ISA",0,"122262",2016,NA
100,NA,1.63315443905142,NA,5.12,"LE1",1,"133122",2008,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2009,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2010,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2011,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2012,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2013,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2014,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2015,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2016,4.1
100,1.63315443905142,1.63315443905142,5.12,5.12,"LE1",1,"133122",2017,4.1
100,1.63315443905142,1.75785791755237,5.12,5.8,"LE1",1,"133122",2018,4.7
100,1.75785791755237,1.76985463384001,5.8,5.87,"LE1",1,"133122",2019,5.5
100,NA,1.51512723296286,NA,4.55,"SEL",1,"217590",2005,2.65
100,1.51512723296286,1.44456326924387,4.55,4.24,"SEL",1,"217590",2006,2.7
100,1.44456326924387,1.47017584510059,4.24,4.35,"SEL",1,"217590",2007,3.1
100,1.47017584510059,1.56861591791385,4.35,4.8,"SEL",1,"217590",2008,3
100,1.56861591791385,1.53686721959926,4.8,4.65,"SEL",1,"217590",2009,2.9
100,1.53686721959926,1.6094379124341,4.65,5,"SEL",1,"217590",2010,2.85
100,1.6094379124341,1.62924053973028,5,5.1,"SEL",1,"217590",2011,3
100,1.62924053973028,1.39128190263093,5.1,4.02,"SEL",1,"217590",2012,3
100,1.39128190263093,1.42310833424261,4.02,4.15,"SEL",1,"217590",2013,3
100,1.42310833424261,1.31640823365572,4.15,3.73,"SEL",1,"217590",2014,3
100,1.31640823365572,NA,3.73,NA,"SEL",0,"217590",2015,NA
100,NA,1.47247205736094,NA,4.36,"SEL",1,"217606",2003,4.3
100,1.47247205736094,1.58923520511658,4.36,4.9,"SEL",1,"217606",2004,4.35
100,1.58923520511658,1.5993875765806,4.9,4.95,"SEL",1,"217606",2005,4.6
100,1.5993875765806,1.67147330335355,4.95,5.32,"SEL",1,"217606",2006,4.6
100,1.67147330335355,1.60542989103656,5.32,4.98,"SEL",1,"217606",2007,4.8
100,1.60542989103656,1.61938824328727,4.98,5.05,"SEL",1,"217606",2008,5.2
100,1.61938824328727,1.51732262352629,5.05,4.56,"SEL",1,"217606",2009,5.3
100,1.51732262352629,1.56861591791385,4.56,4.8,"SEL",1,"217606",2010,5.4
100,1.56861591791385,1.58923520511658,4.8,4.9,"SEL",1,"217606",2011,5
100,1.58923520511658,1.60743590976343,4.9,4.99,"SEL",1,"217606",2012,5.3
100,1.60743590976343,NA,4.99,NA,"SEL",0,"217606",2013,NA
100,NA,1.28093384546206,NA,3.6,"SEL",1,"217712",2003,9.6
100,1.28093384546206,1.54756250871601,3.6,4.7,"SEL",1,"217712",2004,9.8
100,1.54756250871601,1.53686721959926,4.7,4.65,"SEL",1,"217712",2005,10.2
100,1.53686721959926,1.56861591791385,4.65,4.8,"SEL",1,"217712",2006,10.35
100,1.56861591791385,1.57897870494939,4.8,4.85,"SEL",1,"217712",2007,11.3
100,1.57897870494939,1.7227665977411,4.85,5.6,"SEL",1,"217712",2008,11
100,1.7227665977411,1.56861591791385,5.6,4.8,"SEL",1,"217712",2009,11.2
100,1.56861591791385,1.6094379124341,4.8,5,"SEL",1,"217712",2010,9.9
100,1.6094379124341,1.66770682055808,5,5.3,"SEL",1,"217712",2011,9.9
100,1.66770682055808,1.71379792775834,5.3,5.55,"SEL",1,"217712",2012,10
100,1.71379792775834,1.46787434811231,5.55,4.34,"SEL",1,"217712",2013,10.3
100,1.46787434811231,1.41098697371026,4.34,4.1,"SEL",1,"217712",2014,10.5
100,1.41098697371026,1.3609765531356,4.1,3.9,"SEL",1,"217712",2015,9.9
100,1.3609765531356,NA,3.9,NA,"SEL",0,"217712",2016,NA
100,NA,0.985816794522765,NA,2.68,"SEL",1,"217897",2003,5.3
100,0.985816794522765,1.05082162483176,2.68,2.86,"SEL",1,"217897",2004,5.3
100,1.05082162483176,1.12492959698548,2.86,3.08,"SEL",1,"217897",2005,5.4
100,1.12492959698548,1.14740245283754,3.08,3.15,"SEL",1,"217897",2006,5.6
100,1.14740245283754,NA,3.15,NA,"SEL",0,"217897",2007,NA
100,NA,1.29198368164865,NA,3.64,"SEL",1,"217958",2003,8.6
100,1.29198368164865,1.6094379124341,3.64,5,"SEL",1,"217958",2004,8.8
100,1.6094379124341,1.86097453824953,5,6.43,"SEL",1,"217958",2005,9.5
100,1.86097453824953,1.69927861643389,6.43,5.47,"SEL",1,"217958",2006,9.4
100,1.69927861643389,1.67709656090792,5.47,5.35,"SEL",1,"217958",2007,10.4
100,1.67709656090792,1.74919985480926,5.35,5.75,"SEL",1,"217958",2008,10.5
100,1.74919985480926,1.75785791755237,5.75,5.8,"SEL",1,"217958",2009,11
100,1.75785791755237,1.77495235091167,5.8,5.9,"SEL",1,"217958",2010,11.5
100,1.77495235091167,1.77495235091167,5.9,5.9,"SEL",1,"217958",2011,12
100,1.77495235091167,1.84054963339749,5.9,6.3,"SEL",1,"217958",2012,12.6
100,1.84054963339749,1.81645208181843,6.3,6.15,"SEL",1,"217958",2013,12.8
100,1.81645208181843,1.60542989103656,6.15,4.98,"SEL",1,"217958",2014,12.4
100,1.60542989103656,1.73518911773966,4.98,5.67,"SEL",1,"217958",2015,12.3
100,1.73518911773966,NA,5.67,NA,"SEL",0,"217958",2016,NA
100,NA,1.7509374747078,NA,5.76,"SEL",1,"218115",2003,7.3
100,1.7509374747078,1.69561560867515,5.76,5.45,"SEL",1,"218115",2004,7.3
100,1.69561560867515,NA,5.45,NA,"SEL",0,"218115",2005,NA
100,NA,1.39376637595859,NA,4.03,"SEL",1,"218429",2003,3.3
100,1.39376637595859,1.39871688111845,4.03,4.05,"SEL",1,"218429",2004,2.5
100,1.39871688111845,NA,4.05,NA,"SEL",0,"218429",2005,NA
