UID,PlotCode,PlotName,Tag,h1,Sup,Rep,FruitsPerBranch,Branches,TotalFruitset,Census
211918,SC01,RIC,977,5.73,1,1,26,2,52,2017
211772,SC01,RIC,966,5.75,1,1,37,3,111,2017
211727,SC01,RIC,959,5.6,1,0,,,0,2017
211505,SC01,RIC,949,5.94,1,0,,,0,2017
211413,SC01,RIC,945,4.7,1,0,,,0,2017
211352,SC01,RIC,940,6.2,1,1,16,5,80,2017
211314,SC01,RIC,937,4.96,1,0,,,0,2017
211000,SC01,RIC,912,4.3,1,0,,,0,2017
210669,SC01,RIC,893,4.1,1,1,10,4,40,2017
210638,SC01,RIC,889,7.2,1,1,38,3,114,2017
210607,SC01,RIC,898,7,1,0,,,0,2017
210591,SC01,RIC,887,5.15,1,1,21,5,105,2017
210461,SC01,RIC,877,3.3,1,0,,,0,2017
210447,SC01,RIC,880,5.2,1,1,7,5,35,2017
210409,SC01,RIC,874,5.3,1,0,,,0,2017
210010,SC01,RIC,851,3.26,1,1,15,2,30,2017
212007,SC02,ISP,600,7.25,1,0,,,0,2017
212342,SC02,ISP,631,6.37,1,0,,,0,2017
212564,SC02,ISP,649,6.92,1,1,110,3,330,2017
212601,SC02,ISP,653,6.6,1,1,4,3,12,2017
212663,SC02,ISP,659,6.11,1,1,92,9,828,2017
212762,SC02,ISP,668,5.7,1,0,,,0,2017
213172,SC02,ISP,693,6.42,1,1,20,2,40,2017
213639,SC03,SEP,3,7.92,1,0,,,0,2017
213721,SC03,SEP,21,7.57,1,0,,,0,2017
218542,SC06,ISC,488,,1,1,74,3,222,2017
218665,SC06,ISC,469,,1,0,,,0,2017
218818,SC06,ISC,483,,1,1,13,5,65,2017
218856,SC06,ISC,522,3.3,1,0,,,0,2017
219594,SC06,ISC,535,5.2,1,0,,,0,2017
219952,SC06,ISC,562,6.75,1,0,,,0,2017
220231,SC06,ISC,588,6.33,1,0,,,0,2017
220583,SC08,TOA,238,5.65,1,1,41,2,82,2017
220392,SC08,TOA,235,4.9,1,1,18,5,90,2017
220439,SC08,TOA,236,3.97,1,1,15,3,45,2017
220521,SC08,TOA,231,5.46,1,1,50,4,200,2017
220477,SC08,TOA,232,5.99,1,0,,,0,2017
220460,SC08,TOA,228,6.3,1,0,,,0,2017
220576,SC08,TOA,227,4.2,1,1,44,3,132,2017
220514,SC08,TOA,222,6.5,1,0,,,0,2017
220804,SC08,TOA,263,4.65,1,0,,,0,2017
220644,SC08,TOA,260,4.75,1,1,9,3,27,2017
220637,SC08,TOA,253,5.15,1,1,122,4,488,2017
220712,SC08,TOA,249,6.26,1,0,,,0,2017
221344,SC08,TOA,310,3.42,1,0,,,0,2017
221023,SC08,TOA,302,4.65,1,1,54,2,108,2017
221177,SC08,TOA,301,4.68,1,1,36,5,180,2017
221474,SC08,TOA,298,4.55,1,1,62,6,372,2017
221047,SC08,TOA,296,5,1,1,13,3,39,2017
221405,SC08,TOA,280,4.4,1,0,,,0,2017
221160,SC08,TOA,285,4.87,1,1,46,4,184,2017
221276,SC08,TOA,270,5.25,1,1,7,5,35,2017
221085,SC08,TOA,274,3,1,0,,,0,2017
221726,SC08,TOA,335,5.2,1,0,,,0,2017
234177,SC08,TOA,T058,2.5,1,0,,,0,2017
221535,SC08,TOA,326,2.83,1,0,,,0,2017
221764,SC08,TOA,314,4.65,1,0,,,0,2017
221542,SC08,TOA,316,5.4,1,0,,,0,2017
221672,SC08,TOA,312,5.94,1,1,30,4,120,2017
223478,SC09,MAL,162,4.72,1,0,,,0,2017
