"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
23,NA,0.482426149244293,NA,1.62,"2","1","SS02-433310",2003,1.41
24,0.482426149244293,0.518793793415168,1.62,1.68,"2","1","SS02-433310",2004,1.77
25,0.518793793415168,0.65232518603969,1.68,1.92,"2","1","SS02-433310",2005,1.8
26,0.65232518603969,0.488580014818671,1.92,1.63,"2","1","SS02-433310",2006,1.8
27,0.488580014818671,0.53062825106217,1.63,1.7,"2","1","SS02-433310",2007,1.8
28,0.53062825106217,0.741937344729377,1.7,2.1,"2","1","SS02-433310",2008,1.8
29,0.741937344729377,0.802001585472027,2.1,2.23,"2","1","SS02-433310",2009,2
30,0.802001585472027,NA,2.23,NA,"2","0","SS02-433310",2010,NA
25,NA,-0.693147180559945,NA,0.5,"2","1","SS02-433693",2005,0.31
26,-0.693147180559945,-0.616186139423817,0.5,0.54,"2","1","SS02-433693",2006,0.393
27,-0.616186139423817,-0.0943106794712413,0.54,0.91,"2","1","SS02-433693",2007,0.4
28,-0.0943106794712413,-0.0725706928348354,0.91,0.93,"2","1","SS02-433693",2008,0.74
29,-0.0725706928348354,0.2390169004705,0.93,1.27,"2","1","SS02-433693",2009,0.74
30,0.2390169004705,0.254642218373581,1.27,1.29,"2","1","SS02-433693",2010,0.74
31,0.254642218373581,0.22314355131421,1.29,1.25,"2","1","SS02-433693",2011,0.74
32,0.22314355131421,0,1.25,1,"2","1","SS02-433693",2012,0.74
33,0,NA,1,NA,"2","0","SS02-433693",2013,NA
25,NA,-0.673344553263766,NA,0.51,"2","1","SS02-433709",2005,0.31
26,-0.673344553263766,-0.49429632181478,0.51,0.61,"2","1","SS02-433709",2006,0.33
27,-0.49429632181478,-0.342490308946776,0.61,0.71,"2","1","SS02-433709",2007,0.36
28,-0.342490308946776,-0.301105092783922,0.71,0.74,"2","1","SS02-433709",2008,0.4
29,-0.301105092783922,NA,0.74,NA,"2","0","SS02-433709",2009,NA
26,NA,0.683096844706444,NA,1.98,"2","1","SS02-433969",2006,1.07
27,0.683096844706444,NA,1.98,NA,"2","0","SS02-433969",2007,NA
23,NA,0.78845736036427,NA,2.2,"2","1","SS02-434102",2003,1.1
24,0.78845736036427,0.73716406597672,2.2,2.09,"2","1","SS02-434102",2004,1.28
25,0.73716406597672,0.482426149244293,2.09,1.62,"2","1","SS02-434102",2005,1.26
26,0.482426149244293,0.444685821261446,1.62,1.56,"2","1","SS02-434102",2006,1.307
27,0.444685821261446,0.797507195884188,1.56,2.22,"2","1","SS02-434102",2007,1.65
28,0.797507195884188,0.916290731874155,2.22,2.5,"2","1","SS02-434102",2008,1.65
29,0.916290731874155,1.13783300182139,2.5,3.12,"2","1","SS02-434102",2009,1.65
30,1.13783300182139,1.02961941718116,3.12,2.8,"2","1","SS02-434102",2010,1.93
31,1.02961941718116,NA,2.8,NA,"2","0","SS02-434102",2011,NA
10,NA,0.576613364303994,NA,1.78,"4","1","SS04-437103",2003,0.57
11,0.576613364303994,0.570979546585738,1.78,1.77,"4","1","SS04-437103",2004,0.78
12,0.570979546585738,0.693147180559945,1.77,2,"4","1","SS04-437103",2005,0.67
13,0.693147180559945,0.703097511413113,2,2.02,"4","1","SS04-437103",2006,0.652
14,0.703097511413113,0.65232518603969,2.02,1.92,"4","1","SS04-437103",2007,0.831
15,0.65232518603969,0.470003629245736,1.92,1.6,"4","1","SS04-437103",2008,1
16,0.470003629245736,0.576613364303994,1.6,1.78,"4","1","SS04-437103",2009,0.94
16,0.576613364303994,NA,1.78,NA,"4","0","SS04-437103",2010,NA
16,NA,-0.843970070294529,NA,0.43,"4","1","SS04-437288",2010,0.19
18,-0.843970070294529,NA,0.43,NA,"4","0","SS04-437288",2011,NA
19,NA,-0.510825623765991,NA,0.6,"6","1","SS06-441254",2004,0.21
20,-0.510825623765991,-0.49429632181478,0.6,0.61,"6","1","SS06-441254",2005,0.35
21,-0.49429632181478,-0.510825623765991,0.61,0.6,"6","1","SS06-441254",2006,0.347
22,-0.510825623765991,-0.198450938723838,0.6,0.82,"6","1","SS06-441254",2007,0.52
23,-0.198450938723838,-0.198450938723838,0.82,0.82,"6","1","SS06-441254",2008,0.52
24,-0.198450938723838,NA,0.82,NA,"6","0","SS06-441254",2009,NA
11,NA,0.482426149244293,NA,1.62,"7","1","SS07-453707",2003,1.55
16,0.482426149244293,NA,1.62,NA,"7","0","SS07-453707",2008,NA
11,NA,0.262364264467491,NA,1.3,"7","1","SS07-453790",2003,1.83
13,0.262364264467491,NA,1.3,NA,"7","0","SS07-453790",2005,NA
16,NA,-1.07880966137193,NA,0.34,"7","1","SS07-453998",2008,0.178
17,-1.07880966137193,NA,0.34,NA,"7","0","SS07-453998",2009,NA
17,NA,-0.385662480811985,NA,0.68,"7","1","SS07-454247",2009,0.72
18,-0.385662480811985,0.262364264467491,0.68,1.3,"7","1","SS07-454247",2010,0.7
16,NA,0.215111379616945,NA,1.24,"7","1","SS07-454254",2008,0.481
17,0.215111379616945,0.262364264467491,1.24,1.3,"7","1","SS07-454254",2009,0.51
18,0.262364264467491,NA,1.3,NA,"7","0","SS07-454254",2010,NA
11,NA,1.1314021114911,NA,3.1,"7","1","SS07-454360",2003,1.31
16,1.1314021114911,NA,3.1,NA,"7","0","SS07-454360",2008,NA
17,NA,NA,NA,NA,"7","1","SS07-454582",2009,0
18,NA,0.518793793415168,NA,1.68,"7","1","SS07-454582",2010,0.7
1,NA,-0.385662480811985,NA,0.68,"8","1","SS08-415637",2004,0.86
2,-0.385662480811985,-0.63487827243597,0.68,0.53,"8","1","SS08-415637",2005,1
3,-0.63487827243597,0.0295588022415444,0.53,1.03,"8","1","SS08-415637",2006,1.5
4,0.0295588022415444,0.8754687373539,1.03,2.4,"8","1","SS08-415637",2007,2.5
5,0.8754687373539,0.982078472412158,2.4,2.67,"8","1","SS08-415637",2008,4
6,0.982078472412158,1.22377543162212,2.67,3.4,"8","1","SS08-415637",2009,3.9
7,1.22377543162212,1.3609765531356,3.4,3.9,"8","1","SS08-415637",2010,5.9
8,1.3609765531356,1.43508452528932,3.9,4.2,"8","1","SS08-415637",2011,6.3
9,1.43508452528932,1.6094379124341,4.2,5,"8","1","SS08-415637",2012,5
10,1.6094379124341,1.62334081760309,5,5.07,"8","1","SS08-415637",2013,6.3
11,1.62334081760309,NA,5.07,NA,"8","1","SS08-415637",2014,NA
12,NA,NA,NA,NA,"8","Dosel ","SS08-415637",2015,NA
13,NA,NA,NA,NA,"8","1","SS08-415637",2016,NA
1,NA,0.139761942375159,NA,1.15,"8","1","SS08-415750",2004,1.56
2,0.139761942375159,0.0953101798043249,1.15,1.1,"8","1","SS08-415750",2005,0.79
3,0.0953101798043249,0.29266961396282,1.1,1.34,"8","1","SS08-415750",2006,1.038
