"ln.h1","ln.h2","sup","Age","plot","id","Census","h1","h2"
NA,0.53062825106217,1,6,10,"p10i162",2004,NA,1.7
0.53062825106217,0.693147180559945,1,7,10,"p10i162",2005,1.7,2
0.693147180559945,0.662687973075237,1,8,10,"p10i162",2006,2,1.94
0.662687973075237,1.14740245283754,1,9,10,"p10i162",2007,1.94,3.15
1.14740245283754,1.25276296849537,1,10,10,"p10i162",2008,3.15,3.5
1.25276296849537,1.22964055107451,1,11,10,"p10i162",2009,3.5,3.42
1.22964055107451,NA,1,12,10,"p10i162",2010,3.42,NA
NA,NA,1,13,10,"p10i162",2011,NA,NA
NA,NA,1,14,10,"p10i162",2012,NA,NA
NA,NA,1,15,10,"p10i162",2013,NA,NA
NA,NA,1,16,10,"p10i162",2014,NA,NA
NA,NA,1,17,10,"p10i162",2015,NA,NA
NA,NA,1,18,10,"p10i162",2016,NA,NA
NA,NA,0,19,10,"p10i162",NA,NA,NA
NA,-0.150822889734584,1,5,10,"p10i3",2003,NA,0.86
-0.150822889734584,0.314810739840034,1,6,10,"p10i3",2004,0.86,1.37
0.314810739840034,0.438254930931155,1,7,10,"p10i3",2005,1.37,1.55
0.438254930931155,0.60431596685333,1,8,10,"p10i3",2006,1.55,1.83
0.60431596685333,0.576613364303994,1,9,10,"p10i3",2007,1.83,1.78
0.576613364303994,0.641853886172395,1,10,10,"p10i3",2008,1.78,1.9
0.641853886172395,1.02961941718116,1,11,10,"p10i3",2009,1.9,2.8
1.02961941718116,1.24703229378638,1,12,10,"p10i3",2010,2.8,3.48
1.24703229378638,NA,1,12,10,"p10i3",2011,3.48,NA
NA,NA,1,12,10,"p10i3",2012,NA,NA
NA,NA,1,12,10,"p10i3",2013,NA,NA
NA,NA,1,12,10,"p10i3",2014,NA,NA
NA,NA,1,12,10,"p10i3",2015,NA,NA
NA,NA,1,12,10,"p10i3",2016,NA,NA
NA,NA,0,13,10,"p10i3",NA,NA,NA
NA,0.62057648772511,1,3,11,"p11i109",2003,NA,1.86
0.62057648772511,0.867100487683383,1,4,11,"p11i109",2004,1.86,2.38
0.867100487683383,1.02961941718116,1,5,11,"p11i109",2005,2.38,2.8
1.02961941718116,0.974559639998131,1,6,11,"p11i109",2006,2.8,2.65
0.974559639998131,1.1314021114911,1,7,11,"p11i109",2007,2.65,3.1
1.1314021114911,0.974559639998131,1,8,11,"p11i109",2008,3.1,2.65
0.974559639998131,1.02245092770255,1,9,11,"p11i109",2009,2.65,2.78
1.02245092770255,1.32707500145992,1,10,11,"p11i109",2010,2.78,3.77
1.32707500145992,NA,0,11,11,"p11i109",NA,3.77,NA
NA,0.231111720963387,1,3,11,"p11i116",2003,NA,1.26
0.231111720963387,0.2390169004705,1,4,11,"p11i116",2004,1.26,1.27
0.2390169004705,0.470003629245736,1,5,11,"p11i116",2005,1.27,1.6
0.470003629245736,0.412109650826833,1,6,11,"p11i116",2006,1.6,1.51
0.412109650826833,0.657520002916794,1,7,11,"p11i116",2007,1.51,1.93
0.657520002916794,0.470003629245736,1,8,11,"p11i116",2008,1.93,1.6
0.470003629245736,0.732367893713227,1,9,11,"p11i116",2009,1.6,2.08
0.732367893713227,0.871293365943419,1,10,11,"p11i116",2010,2.08,2.39
0.871293365943419,NA,0,11,11,"p11i116",NA,2.39,NA
NA,0.0582689081239758,1,3,11,"p11i146",2003,NA,1.06
