"h1","ln.h1","Rep","Age","plot","id","TotFrut","sup"
5.33,1.67335123817775,"1",20,15,"pDIAi146q3",145,1
5.6,1.7227665977411,"1",20,15,"pDIAi43q3",20,1
5.75,1.74919985480926,"1",20,15,"pDIAi94q2",76,1
5.1,1.62924053973028,"1",20,15,"pDIAiX012q2",24,1
8.2,2.10413415427021,"1",29,13,"pESSi761q1",198,1
7.8,2.05412373369555,"1",29,13,"pESSi764q2",284,1
7,1.94591014905531,"1",29,13,"pESSi775q3",28,1
6.15,1.81645208181843,"1",29,13,"pESSi807q3",392,1
6.5,1.87180217690159,"1",29,13,"pESSi846q4",15,1
5.25,1.65822807660353,"1",22,12,"pFIDi173q3",20,1
3.3,1.19392246847243,"1",18,10,"pHILi6q3",25,1
6.5,1.87180217690159,"1",31,6,"pISCi483q3",65,1
5.65,1.73165554515835,"1",31,6,"pISCi488q4",222,1
6.97,1.94161522477243,"1",36,2,"pISPi649q2",330,1
6.37,1.85159946958407,"1",36,2,"pISPi653q2",12,1
6.26,1.83418018511201,"1",36,2,"pISPi659q4",828,1
6.52,1.87487437593856,"1",36,2,"pISPi693q1",40,1
6.1,1.80828877117927,"1",49,9,"pMALi43q2",42,1
3.32,1.1999647829284,"1",43,1,"pRICi851q4",30,1
5.1,1.62924053973028,"1",43,1,"pRICi880q2",35,1
6.3,1.84054963339749,"1",43,1,"pRICi887q4",105,1
7.84,2.05923883436232,"1",43,1,"pRICi889q4",114,1
5.9,1.77495235091167,"1",43,1,"pRICi893q4",40,1
6.1,1.80828877117927,"1",43,1,"pRICi940q2",80,1
6,1.79175946922805,"1",43,1,"pRICi966q2",111,1
5.65,1.73165554515835,"1",43,1,"pRICi977q1",52,1
4.4,1.48160454092422,"1",13,8,"pTOAi227q3",132,1
5.6,1.7227665977411,"1",13,8,"pTOAi231q3",200,1
5.15,1.63899671467564,"1",13,8,"pTOAi235q2",90,1
4.4,1.48160454092422,"1",13,8,"pTOAi236q2",45,1
6,1.79175946922805,"1",13,8,"pTOAi238q1",82,1
5.1,1.62924053973028,"1",13,8,"pTOAi253q3",488,1
4.35,1.47017584510059,"1",13,8,"pTOAi260q2",27,1
4.9,1.58923520511658,"1",13,8,"pTOAi270q4",35,1
4.6,1.52605630349505,"1",13,8,"pTOAi285q4",184,1
4.55,1.51512723296286,"1",13,8,"pTOAi296q3",39,1
4.6,1.52605630349505,"1",13,8,"pTOAi298q3",372,1
4.9,1.58923520511658,"1",13,8,"pTOAi301q2",180,1
4.46,1.49514876603197,"1",13,8,"pTOAi302q1",108,1
5,1.6094379124341,"1",13,8,"pTOAi312q4",120,1
4.6,1.52605630349505,"1",14,14,"pTOBi392q3",20,1
4.9,1.58923520511658,"1",14,14,"pTOBi394q4",132,1
4.9,1.58923520511658,"1",14,14,"pTOBi454q3",8,1
