"Age","ln.h1","ln.h2","h1","h2","plot","sup","id","Census"
10,NA,1.28093384546206,NA,3.6,4,1,"pABEi110q2",2003
11,1.28093384546206,1.3609765531356,3.6,3.9,4,1,"pABEi110q2",2004
12,1.3609765531356,NA,3.9,NA,4,0,"pABEi110q2",2005
10,NA,1.06471073699243,NA,2.9,4,1,"pABEi112q2",2003
11,1.06471073699243,1.06471073699243,2.9,2.9,4,1,"pABEi112q2",2004
12,1.06471073699243,NA,2.9,NA,4,0,"pABEi112q2",2005
10,NA,1.31372366828506,NA,3.72,4,1,"pABEi113q2",2003
11,1.31372366828506,1.53255686809814,3.72,4.63,4,1,"pABEi113q2",2004
12,1.53255686809814,1.61938824328727,4.63,5.05,4,1,"pABEi113q2",2005
13,1.61938824328727,1.57897870494939,5.05,4.85,4,1,"pABEi113q2",2006
14,1.57897870494939,1.55814461804655,4.85,4.75,4,1,"pABEi113q2",2007
15,1.55814461804655,1.58923520511658,4.75,4.9,4,1,"pABEi113q2",2008
16,1.58923520511658,1.54756250871601,4.9,4.7,4,1,"pABEi113q2",2009
17,1.54756250871601,1.38629436111989,4.7,4,4,1,"pABEi113q2",2010
18,1.38629436111989,1.43508452528932,4,4.2,4,1,"pABEi113q2",2011
19,1.43508452528932,1.52605630349505,4.2,4.6,4,1,"pABEi113q2",2012
20,1.52605630349505,1.50407739677627,4.6,4.5,4,1,"pABEi113q2",2013
21,1.50407739677627,1.51292701205326,4.5,4.54,4,1,"pABEi113q2",2014
22,1.51292701205326,1.5993875765806,4.54,4.95,4,1,"pABEi113q2",2015
23,1.5993875765806,NA,4.95,NA,4,0,"pABEi113q2",2016
10,NA,1.41098697371026,NA,4.1,4,1,"pABEi114q2",2003
11,1.41098697371026,1.43508452528932,4.1,4.2,4,1,"pABEi114q2",2004
12,1.43508452528932,1.32707500145992,4.2,3.77,4,1,"pABEi114q2",2005
13,1.32707500145992,1.43508452528932,3.77,4.2,4,1,"pABEi114q2",2006
14,1.43508452528932,1.44691898293633,4.2,4.25,4,1,"pABEi114q2",2007
15,1.44691898293633,NA,4.25,NA,4,0,"pABEi114q2",2008
10,NA,1.30833281965018,NA,3.7,4,1,"pABEi115q2",2003
11,1.30833281965018,1.35840915763035,3.7,3.89,4,1,"pABEi115q2",2004
