UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS02-434102,2003,2,23,23,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,2.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,0.029697868053466,296.97868053466,0.950331777710912,32,1,S,T,"ramas chicas con rebrotes, otras mas altas muertas"
SS02-434102,2004,2,23,24,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,2.09,1.28,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.28,0.040212385965949,402.123859659494,1.28679635091038,32,1,S,T,creciendo de lado
SS02-434102,2005,2,23,25,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,1.62,1.26,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.26,0.038965566381556,389.655663815559,1.24689812420979,32,1,S,T,ram alt mta
SS02-434102,2006,2,23,26,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,1.56,1.307,,,,,,,,,,,,,,,,,,,,,,,,1.307,1.307,0.041926738350798,419.267383507977,1.34165562722553,32,1,S,T,"ramas altas muertas, Revisar si pertenece o no al sotobosque"
SS02-434102,2007,2,23,27,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,2.22,1.65,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.65,0.066820203120299,668.202031202985,2.13824649984955,32,1,S,T,
SS02-434102,2008,2,23,28,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,2.5,1.65,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.65,0.066820203120299,668.202031202985,2.13824649984955,32,1,S,T,
SS02-434102,2009,2,23,29,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,3.12,1.65,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.65,0.066820203120299,668.202031202985,2.13824649984955,32,1,S,T,
SS02-434102,2010,2,23,30,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,1,2.8,1.93,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.93,0.091422800588724,914.228005887236,2.92552961883916,32,1,S,T,
SS02-434102,2011,2,23,31,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-434102,2012,2,23,32,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-434102,2013,2,23,33,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-434102,2014,2,23,34,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-434102,2015,2,23,35,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-434102,2016,2,23,35,2,3,32,<1,6,Mimosa eurycarpa,3.3,3.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
