RUID,UID,Census,Set,SubSet,PlotNum,PlotCode,AbYr,PlotAge,Tra,Qua,Crit,Sample,Tag,Species,TaxRL,PosX,PosY,Sup,CAR,RecrYr,DeadYr,ExcYr,RincYr,NfouYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales
21789703,217897,2003,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,1,,,2007,,,,2.68,3,0.54,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,22.0618344098343,0.0441236688196686,1.27234502470387,25.4469004940773,20,0,0,1,
21771203,217712,2003,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,3.6,2.29,2.87,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,9.6,72.3822947387088,0.144764589477418,5.16187234929705,103.237446985941,20,0,0,1,
21760603,217606,2003,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,4.36,2.5,2.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.3,14.5220120412188,0.0387253654432502,5.49778714378214,146.607657167524,26.6666666666667,0,0,1,
21842903,218429,2003,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,375,285,Mimosa eurycarpa,S,4.63,1.3,1,,,2005,,,,4.03,2.93,2.3,3.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.3,13.4617245206323,0.0358979320550194,5.2927982231354,141.141285950277,26.6666666666667,0,0,2,"caida mta, c/ rebrot vert. vivos"
21811503,218115,2003,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,1,,,2005,,,,5.76,4.76,1.6,3.65,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,7.3,52.3173351593125,0.104634670318625,5.98159241243497,119.631848248699,20,0,0,2,
21795803,217958,2003,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,3.64,4.08,4,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.6,58.0880481648753,0.116176096329751,12.8176980266464,256.353960532927,20,0,0,1,
21789704,217897,2004,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,1,,,2007,,,,2.86,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,22.0618344098343,0.0441236688196686,0,0,20,0,0,1,
21771204,217712,2004,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,4.7,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,9.8,75.429639612691,0.150859279225382,0,0,20,0,0,1,
21760604,217606,2004,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,4.9,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,4.35,14.8616967468882,0.0396311913250352,0,0,26.6666666666667,0,0,1,
21842904,218429,2004,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,375,285,Mimosa eurycarpa,S,4.63,1.3,1,,,2005,,,,4.05,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,4.90873852123405,0.0130899693899575,0,0,26.6666666666667,0,0,1,con rama mta
