UID,Plot,Einicial,Ecenso,Etiqueta,Altura
SS02-468169,2,23,38,A001,0.57
SS02-468176,2,23,38,A002,0.41
SS02-468183,2,23,38,A003,0.38
SS02-468190,2,23,38,A004,0.32
SS02-468206,2,23,38,A005,0.42
SS02-468213,2,23,38,A006,0.55
SS02-468220,2,23,38,A007,0.37
SS02-468237,2,23,38,A008,0.3
SS02-468268,2,23,38,A010,0.36
SS02-468282,2,23,38,A012,0.3
SS02-468251,2,23,38,A013,0.31
SS02-468275,2,23,38,A015,0.4
SS02-468305,2,23,38,A016,0.54
SS02-468312,2,23,38,A017,0.37
SS02-468329,2,23,38,A018,0.4
SS02-468336,2,23,38,A019,0.41
SS02-468343,2,23,38,A020,0.37
SS02-468350,2,23,38,A021,0.34
SS02-468367,2,23,38,A022,0.57
SS02-468374,2,23,38,A023,0.63
SS02-468381,2,23,38,A025,0.36
SS02-459693,2,23,37,Y104,0.65
SS02-459709,2,23,37,Y105,0.33
SS02-459716,2,23,37,Y107,0.44
SS02-459723,2,23,37,Y108,0.4
SS02-459730,2,23,37,Y109,0.42
SS02-459747,2,23,37,Y110,0.32
SS02-459754,2,23,37,Y111,0.49
SS02-459761,2,23,37,Y112,0.48
SS02-459778,2,23,37,Y113,0.39
SS02-459785,2,23,37,Y114,0.64
SS02-459792,2,23,37,Y115,0.49
SS02-459808,2,23,37,Y116,0.53
SS02-459815,2,23,37,Y117,0.42
SS02-459846,2,23,37,Y120,0.67
SS02-459853,2,23,37,Y121,0.58
SS02-459860,2,23,37,Y122,0.72
SS02-459877,2,23,37,Y123,0.31
SS02-459884,2,23,37,Y124,0.34
SS02-459891,2,23,37,Y125,0.43
SS02-459907,2,23,37,Y126,0.3
SS02-459914,2,23,37,Y127,0.42
SS02-459921,2,23,37,Y128,0.46
SS02-459938,2,23,37,Y129,0.33
SS02-459945,2,23,37,Y130,0.42
SS02-459952,2,23,37,Y131,0.36
SS02-459969,2,23,37,Y132,0.34
SS02-459976,2,23,37,Y133,0.31
SS02-460033,2,23,37,Y134,0.48
SS02-460026,2,23,37,Y135,0.56
SS02-460019,2,23,37,Y136,0.53
SS02-460002,2,23,37,Y137,0.56
SS02-459990,2,23,37,Y138,0.61
SS02-459983,2,23,37,Y139,0.62
SS02-460040,2,23,37,Y140,0.48
SS02-460057,2,23,37,Y141,0.39
SS02-460064,2,23,37,Y142,0.32
SS02-460071,2,23,37,Y143,0.53
SS02-460088,2,23,37,Y144,0.4
SS02-460095,2,23,37,Y145,0.33
SS02-460101,2,23,37,Y146,0.49
SS02-460118,2,23,37,Y147,0.4
SS02-460125,2,23,37,Y148,0.36
SS02-460132,2,23,37,Y149,0.37
SS02-460149,2,23,37,Y150,0.4
SS02-460217,2,23,37,Y154,0.52
SS02-460200,2,23,37,Y155,0.5
SS02-460279,2,23,37,Y156,0.42
SS02-460309,2,23,37,Y157,0.37
SS02-460224,2,23,37,Y158,0.32
SS02-460231,2,23,37,Y159,0.35
SS02-460316,2,23,37,Y160,0.43
SS02-460248,2,23,37,Y161,0.38
SS02-460286,2,23,37,Y162,0.43
SS02-460293,2,23,37,Y163,0.44
SS02-460255,2,23,37,Y164,0.37
SS02-460262,2,23,37,Y165,1.04
SS02-460361,2,23,37,Y166,0.39
SS02-460354,2,23,37,Y167,0.33
SS02-460330,2,23,37,Y168,0.38
SS02-460323,2,23,37,Y169,0.33
SS02-460347,2,23,37,Y170,0.3
SS02-460378,2,23,37,Y171,0.48
SS02-460385,2,23,37,Y172,0.45
SS02-460477,2,23,37,Y175,0.62
SS02-460484,2,23,37,Y176,0.57
SS02-460491,2,23,37,Y177,0.4
SS02-460507,2,23,37,Y178,0.53
SS02-460514,2,23,37,Y179,0.42
SS02-460521,2,23,37,Y180,0.4
SS02-460606,2,23,37,Y184,0.32
SS02-460613,2,23,37,Y185,0.32
SS02-460620,2,23,37,Y186,0.33
SS02-460637,2,23,37,Y187,0.36
SS02-460644,2,23,37,Y188,0.37
SS02-460651,2,23,37,Y189,0.54
SS02-460682,2,23,37,Y192,0.31
SS02-460699,2,23,37,Y193,0.38
SS02-460705,2,23,37,Y194,0.54
SS02-460712,2,23,37,Y195,0.48
SS02-460729,2,23,37,Y196,0.43
SS02-460736,2,23,37,Y197,0.54
SS02-460743,2,23,37,Y198,0.39
SS02-460750,2,23,37,Y199,0.42
SS02-460767,2,23,37,Y211,0.59
SS02-460866,2,23,37,Y212,0.45
SS02-460842,2,23,37,Y213,0.8
SS02-460835,2,23,37,Y214,0.39
SS02-460774,2,23,37,Y215,0.62
SS02-460859,2,23,37,Y216,0.3
SS02-460811,2,23,37,Y217,0.37
SS02-460828,2,23,37,Y218,0.73
SS02-460781,2,23,37,Y219,0.43
SS02-460798,2,23,37,Y220,0.56
SS02-460804,2,23,37,Y221,0.36
SS02-460910,2,23,37,Y222,0.46
SS02-460927,2,23,37,Y223,0.35
SS02-460934,2,23,37,Y224,0.39
SS02-460958,2,23,37,Y225,0.49
SS02-460972,2,23,37,Y226,0.6
SS02-461061,2,23,37,Y227,0.43
SS02-461030,2,23,37,Y228,0.61
SS02-460989,2,23,37,Y229,0.38
SS02-460941,2,23,37,Y230,0.34
SS02-461016,2,23,37,Y231,0.32
SS02-461009,2,23,37,Y233,0.34
SS02-460996,2,23,37,Y234,0.42
SS02-460965,2,23,37,Y235,0.52
SS02-461023,2,23,37,Y236,0.36
SS02-461047,2,23,37,Y237,0.7
SS02-461054,2,23,37,Y238,0.33
SS02-461085,2,23,37,Y240,0.41
SS02-461139,2,23,37,Y242,0.52
SS02-461146,2,23,37,Y243,0.39
SS02-461153,2,23,37,Y244,0.33
SS02-461115,2,23,37,Y245,0.52
SS02-461207,2,23,37,Y246,0.33
SS02-461191,2,23,37,Y247,0.48
SS02-461184,2,23,37,Y249,0.31
SS02-461276,2,23,37,Y250,0.35
SS02-461252,2,23,37,Y251,0.36
SS02-461283,2,23,37,Y252,0.3
SS02-461245,2,23,37,Y253,0.32
SS02-461221,2,23,37,Y254,0.54
SS02-461214,2,23,37,Y255,0.34
SS02-461238,2,23,37,Y256,0.34
SS02-461269,2,23,37,Y257,0.34
SS02-461290,2,23,37,Y258,0.34
SS02-461306,2,23,37,Y259,0.34
