RUID,UID,Census,Set,SubSet,PlotCode,Plot,Tra,Qua,Crit,Sample,Tag,Species,PosX,PosY,Sup,Rep,F x R,# R,OBSERVACIONES,CAR,RecrYr,DeadYr,ExcYr,RincYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales,Historial de objeto
21191816,211918,2016,SecCan,NA,SC01,RIC,1,1,A,400,977,Mimosa acantholoba,3.63,2.15,1,1,26,2,,,2012,,,,5.73,1.9,1.9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,28.2743338823081,0.07068583470577,2.83528736986479,70.8821842466197,25,0,0,1,,
21177216,211772,2016,SecCan,NA,SC01,RIC,1,2,B,400,966,Mimosa acantholoba,0.4,9.7,1,1,37,3,,,,,,,5.75,4.26,1.54,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.2,66.47610054996,0.1661902513749,5.15252611115262,128.813152778815,25,0,0,1,,
21172716,211727,2016,SecCan,NA,SC01,RIC,1,3,C,400,959,Mimosa acantholoba,2.35,10.05,1,0,,,,,,,,,5.6,3.1,1.5,7.9,5.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,10.2,157.150318514195,0.392875796285489,3.65210145979813,91.3025364949534,25,0,0,3,,
21150516,211505,2016,SecCan,NA,SC01,RIC,1,3,C,400,949,Mimosa acantholoba,2.5,14.7,1,0,,,,,,,,,5.94,3.3,2.38,6.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,9.6,102.573000139707,0.256432500349267,6.16851717532356,154.212929383089,25,0,0,2,,
21146816,211468,2016,SecCan,NA,SC01,RIC,1,4,A,400,947,Mimosa acantholoba,3.4,17.2,1,M,,,,,,,,,3,1.9,1.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,6.9,37.3928065593525,0.093482016398381,2.68606171881927,67.1515429704818,25,0,0,1,,
21141316,211413,2016,SecCan,NA,SC01,RIC,2,1,A,400,945,Mimosa acantholoba,2.63,3.68,1,0,,,,,2013,,,,4.7,2.06,1.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.7,25.5175863287831,0.063793965821958,1.94150425991849,48.5376064979623,25,0,0,1,,
21139016,211390,2016,SecCan,NA,SC01,RIC,2,2,A,400,160,Mimosa acantholoba,2.95,7,1,M,,,,,,,,,4.6,6.1,1.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.2,40.7150407905237,0.101787601976309,8.62367183410398,215.5917958526,25,0,0,1,,
21138316,211383,2016,SecCan,NA,SC01,RIC,2,2,A,400,941,Mimosa acantholoba,1.25,7.1,1,M,,,,,,,,,4.3,2.7,1.6,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.8,26.4207942166902,0.066051985541725,3.39292006587698,84.8230016469244,25,0,0,1,,
21135216,211352,2016,SecCan,NA,SC01,RIC,2,2,A,400,940,Mimosa acantholoba,4.55,9.45,1,1,16,5,,,,,,,6.2,4.14,2.63,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.4,102.070345315132,0.255175863287831,8.5515722827041,213.789307067602,25,0,0,1,,
21131416,211314,2016,SecCan,NA,SC01,RIC,2,3,B,400,937,Mimosa acantholoba,0.3,12.2,1,0,,,,,,,,,4.96,4.7,1.63,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.3,67.9290871522453,0.169822717880613,6.01693532978785,150.423383244696,25,0,0,1,,
21100016,211000,2016,SecCan,NA,SC01,RIC,3,1,A,400,912,Mimosa acantholoba,2,1.62,1,0,,,,,,,,,4.3,4.8,1.9,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.1,65.0388219109427,0.162597054777357,7.16283125018473,179.070781254618,25,0,0,1,,
21096616,210966,2016,SecCan,NA,SC01,RIC,3,1,A,400,910,Mimosa acantholoba,1.2,2.3,1,M,,,,,2009,,,,3.6,1.9,0.7,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1,29.224665660019,0.073061664150048,1.04457955731861,26.1144889329652,25,0,0,1,,
21094216,210942,2016,SecCan,NA,SC01,RIC,3,2,A,400,908,Mimosa acantholoba,1.6,6.8,1,M?,,,,,,,,,6.7,6.6,6.1,6.2,10.3,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,16.2,319.63349055786,0.799083726394649,31.6201300583813,790.503251459532,25,0,0,3,,
21066916,210669,2016,SecCan,NA,SC01,RIC,3,4,B,400,893,Mimosa acantholoba,0.3,16.25,1,1,10,4,,,,,,,4.1,3.7,3,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,9.7,73.8981131940659,0.184745282985165,8.71791961371168,217.947990342792,25,0,0,1,Revisar DAP 2015,
21063816,210638,2016,SecCan,NA,SC01,RIC,3,4,B,400,889,Mimosa acantholoba,4.5,18,1,1,38,3,,,,,,,7.2,3.5,3,10.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,10.4,105.376871583036,0.263442178957589,8.24668071567321,206.16701789183,25,0,0,2,,
