"RUID","UID","Census","Set","SubSet","PlotCode","Plot","Tra","Qua","Crit","Sample","Tag","Species","PosX","PosY","Sup","Rep","FrutPerBranch","NumbBranch","AvrgSeeds","CAR","RecrYr","DeadYr","ExcYr","RincYr","Height","CovD1","CovD2","DBH01","DBH02","DBH03","DBH04","DBH05","DBH06","DBH07","DBH08","DBH09","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH26","DBH27","DBH28","DBH29","DBH30","minDBH","maxDBH","Basal.cm2.plot","Basal.m2.ha","Cob.m2.plot","Cob.m2.ha","Dens.ha","Rec.ha","Mu.ha","Stems","Observaciones.anuales","Historial.de.objeto","X","id","Age.init","Fst.cens","plot","Age.census","TotFrut","TotSeeds"
"21559603","215596",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","27","Mimosa acantholoba","3.25","5",1,"",NA,NA,NA,NA,NA,2008,NA,NA,3.25,1.7,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.3,"13273228961","0.013273229",17357299411,"1735729941108","100","0",0,1,"c/ tocon chico multitallo quemado","","","pABEi27q2",10,2003,4,10,0,0
"21560203","215602",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","28","Mimosa acantholoba","0.2","5.65",1,"",NA,NA,NA,NA,NA,2008,NA,NA,2.8,0.8,1.3,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.15,"10386890711","0.010386891",0.81681409,"816814089933","100","0",0,1,"c/ tocon chico multitallo quemado","","","pABEi28q2",10,2003,4,10,0,0
"21562603","215626",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","30","Mimosa acantholoba","0.7","6",1,"",NA,NA,NA,NA,NA,2010,NA,NA,3.07,1.5,1.25,1.15,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.4,"25780694714","0.025780695",14726215564,"147262155637","100","0",0,2,"","","","pABEi30q2",10,2003,4,10,0,0
"21557203","215572",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","25","Mimosa acantholoba","4.15","7.1",1,"",NA,NA,NA,NA,NA,2004,NA,NA,2.45,0.6,0.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,"15393804003","0.015393804",0.376991118,"376991118431","100","0",0,1,"c/ toconcito parece quemado. c/ hongos en base","","","pABEi25q2",10,2003,4,10,0,0
"21563303","215633",2003,"SecCan",NA,"SC04","ABE",1,"2","C","200","31","Mimosa acantholoba","4.47","7.25",1,"",NA,NA,NA,NA,NA,2016,NA,NA,4.85,3,3.2,3.75,2.3,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.75,"215788145393","0.107894073",75398223686,"3769911184308","50","0",0,3,"ramif. desde base","","","pABEi31q2",10,2003,4,10,0,0
"21556503","215565",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","24","Mimosa acantholoba","4.6","7.7",1,"",NA,NA,NA,NA,NA,NA,NA,NA,2.9,1.8,1.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,"11309733553","0.011309734",26860617188,"2686061718819","100","0",0,1,"crec. bien 1 solo tallo","","","pABEi24q2",10,2003,4,10,0,0
"21555803","215558",2003,"SecCan",NA,"SC04","ABE",1,"2","C","100","23","Mimosa acantholoba","4.4","8.9",1,"",NA,NA,NA,NA,NA,NA,NA,NA,3.25,1.8,2.3,1.2,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.8,"5686282703","0.056862827",32515483965,"3251548396465","100","0",0,3,"c/ tocon chico quemado y varios rebrotes mtos.","","","pABEi23q2",10,2003,4,10,0,0
"21549703","215497",2003,"SecCan",NA,"SC04","ABE",1,"3","B","200","3","Mimosa acantholoba","4","10.75",1,"",NA,NA,NA,NA,NA,NA,NA,NA,3.87,3,3.5,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,"66051985542","0.033025993",82466807157,"4123340357837","50","0",0,1,"crec. der. s/ ramif pero oprimida x ind 02","","","pABEi3q3",10,2003,4,10,0,0
"21537403","215374",2003,"SecCan",NA,"SC04","ABE",1,"4","A","400","1","Mimosa acantholoba","3.25","16.1",1,"",NA,NA,NA,NA,NA,2010,NA,NA,5,4,3.8,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.3,"311724531052","0.077931133",119380520836,"298451302091","25","0",0,1,"ok. remif. desde base. c/ 1 toconcito quemado","","","pABEi1q4",10,2003,4,10,0,0
"21586203","215862",2003,"SecCan",NA,"SC04","ABE",2,"1","C","100","56","Mimosa acantholoba","0","1.2",1,"",NA,NA,NA,NA,NA,2013,NA,NA,3.7,1.4,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,"20106192983","0.020106193",10995574288,"1099557428756","100","0",0,1,"c/ toconcito en base. ramif desde base","","","pABEi56q1",10,2003,4,10,0,0
