"h1","ln.h1","Rep","Age","plot","id","TotFrut","sup"
5.33,1.67335123817775,"1",20,15,"pDIAi146q3",145,1
5.9,1.77495235091167,"0",20,15,"pDIAi180q2",0,1
5.6,1.7227665977411,"1",20,15,"pDIAi43q3",20,1
5.75,1.74919985480926,"1",20,15,"pDIAi94q2",76,1
5.1,1.62924053973028,"1",20,15,"pDIAiX012q2",24,1
6.32,1.84371920815877,"0",29,13,"pESSi743q3",0,1
8.2,2.10413415427021,"1",29,13,"pESSi761q1",198,1
7.8,2.05412373369555,"1",29,13,"pESSi764q2",284,1
7.8,2.05412373369555,"0",29,13,"pESSi774q3",0,1
7,1.94591014905531,"1",29,13,"pESSi775q3",28,1
5.2,1.64865862558738,"0",29,13,"pESSi783q4",0,1
7.7,2.04122032885964,"0",29,13,"pESSi787q1",0,1
7,1.94591014905531,"0",29,13,"pESSi798q2",0,1
6.15,1.81645208181843,"1",29,13,"pESSi807q3",392,1
3.77,1.32707500145992,"0",29,13,"pESSi825q1",0,1
6.1,1.80828877117927,"0",29,13,"pESSi830q1",0,1
5.77,1.75267208052001,"0",29,13,"pESSi831q2",0,1
6.5,1.87180217690159,"0",29,13,"pESSi835q2",0,1
6.1,1.80828877117927,"0",29,13,"pESSi842q3",0,1
6.5,1.87180217690159,"1",29,13,"pESSi846q4",15,1
5.04,1.61740608208328,"0",22,12,"pFIDi100q4",0,1
6.72,1.90508815453506,"0",22,12,"pFIDi116q1",0,1
6.87,1.92716410623426,"0",22,12,"pFIDi121q1",0,1
5.25,1.65822807660353,"1",22,12,"pFIDi173q3",20,1
3.8,1.33500106673234,"0",22,12,"pFIDi180q2",0,1
6.3,1.84054963339749,"0",22,12,"pFIDi201q2",0,1
5.4,1.68639895357023,"0",22,12,"pFIDi210q2",0,1
4.3,1.45861502269952,"0",22,12,"pFIDi212q2",0,1
4.35,1.47017584510059,"0",18,10,"pHILi3q3",0,1
3.3,1.19392246847243,"1",18,10,"pHILi6q3",25,1
3.34,1.20597080698861,"0",18,10,"pHILiE93q3",0,1
4.9,1.58923520511658,"0",18,10,"pHILiF25q2",0,1
5.47,1.69927861643389,"0",18,10,"pHILiJ239q2",0,1
3.95,1.37371557891303,"0",18,10,"pHILiJ241q4",0,1
4.8,1.56861591791385,"0",18,10,"pHILiR152q2",0,1
3.2,1.16315080980568,"0",18,10,"pHILiR153q3",0,1
2.59,0.951657875711446,"0",18,10,"pHILiR155q3",0,1
3.35,1.20896034583698,"0",18,10,"pHILiU5q4",0,1
8.2,2.10413415427021,"0",31,6,"pISCi469q2",0,1
6.5,1.87180217690159,"1",31,6,"pISCi483q3",65,1
5.65,1.73165554515835,"1",31,6,"pISCi488q4",222,1
2.63,0.966983846189673,"0",31,6,"pISCi522q2",0,1
6.45,1.86408013080768,"0",31,6,"pISCi562q4",0,1
5.8,1.75785791755237,"0",31,6,"pISCi588q3",0,1
6.9,1.93152141160321,"0",36,2,"pISPi600q2",0,1
6.67,1.89761985992753,"0",36,2,"pISPi631q4",0,1
6.97,1.94161522477243,"1",36,2,"pISPi649q2",330,1
6.37,1.85159946958407,"1",36,2,"pISPi653q2",12,1
6.26,1.83418018511201,"1",36,2,"pISPi659q4",828,1
6.05,1.80005827204275,"0",36,2,"pISPi668q1",0,1
6.52,1.87487437593856,"1",36,2,"pISPi693q1",40,1
5.7,1.7404661748405,"0",49,9,"pMALi22q4",0,1
6.1,1.80828877117927,"1",49,9,"pMALi43q2",42,1
4.32,1.46325540225602,"0",49,9,"pMALiM125q3",0,1
3.32,1.1999647829284,"1",43,1,"pRICi851q4",30,1
3.7,1.30833281965018,"0",43,1,"pRICi874q3",0,1
3.2,1.16315080980568,"0",43,1,"pRICi877q2",0,1
5.1,1.62924053973028,"1",43,1,"pRICi880q2",35,1
6.3,1.84054963339749,"1",43,1,"pRICi887q4",105,1
7.84,2.05923883436232,"1",43,1,"pRICi889q4",114,1
5.9,1.77495235091167,"1",43,1,"pRICi893q4",40,1
7.3,1.98787434815435,"0",43,1,"pRICi898q4",0,1
3.8,1.33500106673234,"0",43,1,"pRICi912q1",0,1
5.3,1.66770682055808,"0",43,1,"pRICi937q3",0,1
6.1,1.80828877117927,"1",43,1,"pRICi940q2",80,1
4.7,1.54756250871601,"0",43,1,"pRICi945q1",0,1
5.9,1.77495235091167,"0",43,1,"pRICi949q3",0,1
5.25,1.65822807660353,"0",43,1,"pRICi959q3",0,1
6,1.79175946922805,"1",43,1,"pRICi966q2",111,1
5.65,1.73165554515835,"1",43,1,"pRICi977q1",52,1
7.4,2.00148000021012,"0",53,3,"pSEPi21q1",0,1
7.7,2.04122032885964,"0",53,3,"pSEPi3q1",0,1
6.55,1.87946504964716,"0",13,8,"pTOAi222q4",0,1
4.4,1.48160454092422,"1",13,8,"pTOAi227q3",132,1
6.1,1.80828877117927,"0",13,8,"pTOAi228q3",0,1
5.6,1.7227665977411,"1",13,8,"pTOAi231q3",200,1
6.65,1.89461685466776,"0",13,8,"pTOAi232q3",0,1
5.15,1.63899671467564,"1",13,8,"pTOAi235q2",90,1
4.4,1.48160454092422,"1",13,8,"pTOAi236q2",45,1
6,1.79175946922805,"1",13,8,"pTOAi238q1",82,1
6.25,1.83258146374831,"0",13,8,"pTOAi249q4",0,1
5.1,1.62924053973028,"1",13,8,"pTOAi253q3",488,1
4.35,1.47017584510059,"1",13,8,"pTOAi260q2",27,1
4.65,1.53686721959926,"0",13,8,"pTOAi263q1",0,1
4.9,1.58923520511658,"1",13,8,"pTOAi270q4",35,1
3.1,1.1314021114911,"0",13,8,"pTOAi274q4",0,1
4.15,1.42310833424261,"0",13,8,"pTOAi280q4",0,1
4.6,1.52605630349505,"1",13,8,"pTOAi285q4",184,1
4.55,1.51512723296286,"1",13,8,"pTOAi296q3",39,1
4.6,1.52605630349505,"1",13,8,"pTOAi298q3",372,1
4.9,1.58923520511658,"1",13,8,"pTOAi301q2",180,1
4.46,1.49514876603197,"1",13,8,"pTOAi302q1",108,1
3.55,1.26694760348732,"0",13,8,"pTOAi310q1",0,1
5,1.6094379124341,"1",13,8,"pTOAi312q4",120,1
4.5,1.50407739677627,"0",13,8,"pTOAi314q2",0,1
4.9,1.58923520511658,"0",13,8,"pTOAi316q3",0,1
2.75,1.01160091167848,"0",13,8,"pTOAi326q1",0,1
5,1.6094379124341,"0",13,8,"pTOAi335q1",0,1
2.6,0.955511445027436,"0",13,8,"pTOAiT058q1",0,1
4.8,1.56861591791385,"0",14,14,"pTOBi347q2",0,1
4.7,1.54756250871601,"0",14,14,"pTOBi349q2",0,1
4.6,1.52605630349505,"1",14,14,"pTOBi392q3",20,1
4.9,1.58923520511658,"1",14,14,"pTOBi394q4",132,1
4.7,1.54756250871601,"0",14,14,"pTOBi400q1",0,1
4.3,1.45861502269952,"0",14,14,"pTOBi402q2",0,1
3.6,1.28093384546206,"0",14,14,"pTOBi404q2",0,1
4.7,1.54756250871601,"0",14,14,"pTOBi428q1",0,1
5,1.6094379124341,"0",14,14,"pTOBi432q1",0,1
3.8,1.33500106673234,"0",14,14,"pTOBi434q1",0,1
4.2,1.43508452528932,"0",14,14,"pTOBi441q1",0,1
4.15,1.42310833424261,"0",14,14,"pTOBi443q1",0,1
4.8,1.56861591791385,"0",14,14,"pTOBi448q1",0,1
4.8,1.56861591791385,"0",14,14,"pTOBi449q1",0,1
4.8,1.56861591791385,"0",14,14,"pTOBi450q2",0,1
4.9,1.58923520511658,"1",14,14,"pTOBi454q3",8,1
5.05,1.61938824328727,"0",14,14,"pTOBi455q3",0,1
3.75,1.32175583998232,"0",14,14,"pTOBi459q3",0,1
4.6,1.52605630349505,"0",14,14,"pTOBi463q3",0,1
