RowNumber,Census,plot,Age.init,Age,Tag,Área de muestreo,SubTrans,Transecto,Categoría,Especie,sup,h1,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB max,DB min,Num tallos total,Número de tallos muertos,AB soto (cm2/1ha),AB soto (cm2/32m2),Densidad soto 1ha,Densidad soto sitio (32m2),Regen,LF,Observaciones,X,Y,
CR_2_D_2003_1,2003,2,23,23,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,2.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,1,0,0.0296978681,0.9503317777,312.5,1,S,T,ramas chicas con rebrotes. otras mas altas muertas,3.87,3.3,
CR_2_D_2003_56,2003,2,23,23,137,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.62,1.41,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.41,1,0,0.0487953153,1.5614500887,312.5,1,S,T,,14.41,4.21,
CR_2_D_2004_67,2004,2,23,24,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,2.09,1.28,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.28,1,0,0.040212386,1.2867963509,312.5,1,S,T,creciendo de lado,3.87,3.3,
CR_2_D_2004_122,2004,2,23,24,137,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.68,1.77,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.77,1,0,0.0768929346,2.4605739061,312.5,1,S,T,,14.41,4.21,
CR_2_D_2005_160,2005,2,23,25,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,1.62,1.26,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.26,1,0,0.0389655664,1.2468981242,312.5,1,S,T,ram alt mta,3.87,3.3,
CR_2_D_2005_215,2005,2,23,25,137,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.92,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,1,0,0.079521564,2.5446900494,312.5,1,S,T,,14.41,4.21,
CR_2_D_2005_271,2005,2,23,25,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.5,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,1,0,0.0023586489,0.0754767635,312.5,1,S,T,,14.2,3.21,
CR_2_D_2005_273,2005,2,23,25,214,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.51,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,1,0,0.0023586489,0.0754767635,312.5,1,S,T,,14.38,3.42,
CR_2_D_2006_300,2006,2,23,26,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,1.56,1307,,,,,,,,,,,,,,,,,,,,,,,,1307,1307,1,0,0.0419267384,1.3416556272,312.5,1,S,T,ramas altas muertas. Revisar si pertenece o no al sotobosque,3.87,3.3,
CR_2_D_2006_355,2006,2,23,26,137,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.63,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,1,0,0.079521564,2.5446900494,312.5,1,S,T,,14.41,4.21,
CR_2_D_2006_411,2006,2,23,26,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.54,393,,,,,,,,,,,,,,,,,,,,,,,,393,393,1,0,0.0037907488,0.1213039609,312.5,1,S,T,,14.2,3.21,
CR_2_D_2006_413,2006,2,23,26,214,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.61,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.33,1,0,0.0026728081,0.08552986,312.5,1,S,T,,14.38,3.42,
CR_2_D_2006_455,2006,2,23,26,263,32,D,5,<1,Mimosa acantholoba var. eurycarpa,1,1.98,1.07,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.07,1,0,0.0281000737,0.8992023573,312.5,1,R,T,arbolito de ramas altas secas dap mto 1.78,11.33,1.9,
